GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OrderService,com.nt.order.microservice.dtoconverter,CartDtoConverter,3,56,0,0,1,15,1,2,1,2
OrderService,com.nt.order.microservice.dtoconverter,OrderDtoConverter,38,51,1,1,13,15,3,1,2,1
OrderService,com.nt.order.microservice.exception,InsufficientBalanceException,4,0,0,0,2,0,1,0,1,0
OrderService,com.nt.order.microservice.exception,InvalidRequestException,0,4,0,0,0,2,0,1,0,1
OrderService,com.nt.order.microservice.exception,ErrorResponse,67,0,4,0,22,0,11,0,9,0
OrderService,com.nt.order.microservice.exception,ResourceAlreadyExistException,4,0,0,0,2,0,1,0,1,0
OrderService,com.nt.order.microservice.exception,GlobalExceptionHandler,171,0,4,0,28,0,11,0,9,0
OrderService,com.nt.order.microservice.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
OrderService,com.nt.order.microservice.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
OrderService,com.nt.order.microservice.util,Role,0,24,0,0,0,3,0,1,0,1
OrderService,com.nt.order.microservice.util,OrderStatus,0,34,0,0,0,4,0,1,0,1
OrderService,com.nt.order.microservice.util,Constants,3,0,0,0,1,0,1,0,1,0
OrderService,com.nt.order.microservice.serviceimpl,OrderServiceImpl,218,387,8,16,55,100,14,18,6,14
OrderService,com.nt.order.microservice.serviceimpl,CartServiceImpl,160,425,11,17,36,100,9,25,2,18
OrderService,com.nt.order.microservice,OrderServiceApplication,8,0,0,0,3,0,2,0,2,0
OrderService,com.nt.order.microservice.dtos,CartItemDTO,4,108,4,6,2,24,4,12,0,11
OrderService,com.nt.order.microservice.dtos,CommonResponse,0,16,0,0,0,8,0,4,0,4
OrderService,com.nt.order.microservice.dtos,AmountInDTO,0,10,0,0,0,4,0,3,0,3
OrderService,com.nt.order.microservice.dtos,UpdateBalance,0,112,2,8,0,25,2,14,0,11
OrderService,com.nt.order.microservice.dtos,AddressOutDTO,0,45,0,0,0,19,0,13,0,13
OrderService,com.nt.order.microservice.dtos,CartOutDTO,21,173,3,15,8,33,4,22,1,16
OrderService,com.nt.order.microservice.dtos,UserOutDTO,4,198,8,10,2,31,8,19,0,18
OrderService,com.nt.order.microservice.dtos,OrderInDTO,5,133,6,6,2,27,6,13,0,13
OrderService,com.nt.order.microservice.dtos,CartInDTO,5,163,8,8,2,34,8,15,0,15
OrderService,com.nt.order.microservice.dtos,FoodItemOutDTO,4,246,10,12,2,51,10,22,0,21
OrderService,com.nt.order.microservice.dtos,OrderOutDTO,4,241,10,12,2,45,10,22,0,21
OrderService,com.nt.order.microservice.dtos,RestaurantOutDTO,5,251,11,11,2,48,11,21,0,21
OrderService,com.nt.order.microservice.entities,Cart,0,194,1,17,0,38,1,25,0,17
OrderService,com.nt.order.microservice.entities,Order,5,301,11,13,2,59,11,25,0,24
OrderService,com.nt.order.microservice.controller,OrderController,0,120,0,0,0,22,0,7,0,7
OrderService,com.nt.order.microservice.controller,CartController,0,138,0,0,0,30,0,9,0,9
