GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RestaurantService,com.nt.restaurant.microservice,RestaurantServiceApplication,5,3,0,0,2,1,1,1,1,1
RestaurantService,com.nt.restaurant.microservice.serviceimpl,FoodItemServiceImpl,124,277,14,14,29,66,9,16,0,11
RestaurantService,com.nt.restaurant.microservice.serviceimpl,RestaurantServiceImpl,97,211,11,9,24,50,6,11,0,7
RestaurantService,com.nt.restaurant.microservice.serviceimpl,FoodCategoryServiceImpl,12,204,2,12,3,48,2,10,0,5
RestaurantService,com.nt.restaurant.microservice.exception,ResourceAlreadyExistException,0,4,0,0,0,2,0,1,0,1
RestaurantService,com.nt.restaurant.microservice.exception,GlobalExceptionHandler,311,31,14,0,51,5,17,3,10,3
RestaurantService,com.nt.restaurant.microservice.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
RestaurantService,com.nt.restaurant.microservice.exception,InvalidRequestException,0,4,0,0,0,2,0,1,0,1
RestaurantService,com.nt.restaurant.microservice.exception,ErrorResponse,0,67,0,4,0,22,0,11,0,9
RestaurantService,com.nt.restaurant.microservice.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
RestaurantService,com.nt.restaurant.microservice.entities,Restaurant,2,277,9,13,1,58,9,25,0,23
RestaurantService,com.nt.restaurant.microservice.entities,FoodCategory,2,125,4,8,1,29,4,14,0,12
RestaurantService,com.nt.restaurant.microservice.entities,FoodItem,4,246,10,12,2,51,10,22,0,21
RestaurantService,com.nt.restaurant.microservice.dto,RestaurantOutDTO,4,252,10,12,2,49,10,22,0,21
RestaurantService,com.nt.restaurant.microservice.dto,FoodItemInDTO,4,220,9,11,2,41,9,20,0,19
RestaurantService,com.nt.restaurant.microservice.dto,FoodItemUpdateInDTO,2,144,4,10,1,30,4,16,0,13
RestaurantService,com.nt.restaurant.microservice.dto,CommonResponse,0,16,0,0,0,8,0,4,0,4
RestaurantService,com.nt.restaurant.microservice.dto,UserOutDTO,4,222,8,10,2,41,8,20,0,19
RestaurantService,com.nt.restaurant.microservice.dto,RestaurantInDTO,4,198,8,10,2,39,8,18,0,17
RestaurantService,com.nt.restaurant.microservice.dto,FoodCategoryInDTO,4,88,4,6,2,18,4,10,0,9
RestaurantService,com.nt.restaurant.microservice.dto,FoodItemOutDTO,4,246,10,12,2,51,10,22,0,21
RestaurantService,com.nt.restaurant.microservice.dto,FoodCategoryOutDTO,4,114,3,9,2,24,3,14,0,11
RestaurantService,com.nt.restaurant.microservice.dto,SuccessMessage,0,16,0,0,0,8,0,4,0,4
RestaurantService,com.nt.restaurant.microservice.util,Constants,3,0,0,0,1,0,1,0,1,0
RestaurantService,com.nt.restaurant.microservice.util,Role,0,24,0,0,0,3,0,1,0,1
RestaurantService,com.nt.restaurant.microservice.dtoconvertion,DtoConverter,48,46,0,2,15,12,2,2,2,1
RestaurantService,com.nt.restaurant.microservice.dtoconvertion,FoodCategoryDtoConverter,3,19,0,0,1,7,1,2,1,2
RestaurantService,com.nt.restaurant.microservice.dtoconvertion,FoodItemDtoConverter,43,20,0,0,13,9,2,1,2,1
RestaurantService,com.nt.restaurant.microservice.controller,FoodCategoryController,0,64,0,0,0,14,0,5,0,5
RestaurantService,com.nt.restaurant.microservice.controller,FoodItemController,57,64,0,0,12,14,3,5,3,5
RestaurantService,com.nt.restaurant.microservice.controller,RestaurantController,0,98,0,0,0,22,0,7,0,7
