GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UserService,com.nt.user.microservice,UserServiceApplication,8,0,0,0,3,0,2,0,2,0
UserService,com.nt.user.microservice.contoller,UserController,59,91,0,0,10,19,3,7,3,7
UserService,com.nt.user.microservice.contoller,AddressController,0,72,0,0,0,16,0,5,0,5
UserService,com.nt.user.microservice.exceptions,ResourceAlreadyExistException,0,4,0,0,0,2,0,1,0,1
UserService,com.nt.user.microservice.exceptions,InvalidRequestException,4,0,0,0,2,0,1,0,1,0
UserService,com.nt.user.microservice.exceptions,InsufficientBalanceException,0,4,0,0,0,2,0,1,0,1
UserService,com.nt.user.microservice.exceptions,ErrorResponse,0,67,0,4,0,22,0,11,0,9
UserService,com.nt.user.microservice.exceptions,GlobalExceptionHandler,154,0,2,0,26,0,10,0,9,0
UserService,com.nt.user.microservice.exceptions,InvalidCredentialsException,4,0,0,0,2,0,1,0,1,0
UserService,com.nt.user.microservice.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
UserService,com.nt.user.microservice.dto,LoginOutDTO,0,79,1,7,0,15,1,11,0,8
UserService,com.nt.user.microservice.dto,AmountInDTO,2,49,1,3,1,15,1,8,0,7
UserService,com.nt.user.microservice.dto,AddressInDTO,5,178,9,9,2,30,9,16,0,16
UserService,com.nt.user.microservice.dto,AddressOutDTO,2,177,6,10,1,29,6,18,0,16
UserService,com.nt.user.microservice.dto,UserResponse,0,47,0,4,0,12,0,8,0,6
UserService,com.nt.user.microservice.dto,UserOutDTO,2,200,7,11,1,35,7,20,0,18
UserService,com.nt.user.microservice.dto,LogInDTO,64,17,8,0,8,7,7,5,3,5
UserService,com.nt.user.microservice.dto,WalletBalanceInDTO,4,74,3,5,2,13,3,9,0,8
UserService,com.nt.user.microservice.dto,UserInDTO,0,185,1,17,0,32,1,24,0,16
UserService,com.nt.user.microservice.dto,EmailRequestDTO,10,71,3,5,4,11,5,7,2,6
UserService,com.nt.user.microservice.util,Base64Util,10,5,0,0,2,1,2,1,2,1
UserService,com.nt.user.microservice.util,Constants,3,4,0,0,1,1,1,1,1,1
UserService,com.nt.user.microservice.util,Role,0,24,0,0,0,3,0,1,0,1
UserService,com.nt.user.microservice.service,EmailService,103,4,12,0,23,1,9,1,3,1
UserService,com.nt.user.microservice.serviceimpl,AddressServiceImpl,9,196,1,9,2,46,1,9,0,5
UserService,com.nt.user.microservice.serviceimpl,UserServiceImpl,50,346,6,10,9,80,7,11,1,9
UserService,com.nt.user.microservice.serviceimpl,WalletBalanceServiceImpl,0,221,0,6,0,42,0,10,0,7
UserService,com.nt.user.microservice.entites,WalletBalance,0,107,2,10,0,20,2,14,0,10
UserService,com.nt.user.microservice.entites,User,4,201,9,11,2,33,9,19,0,18
UserService,com.nt.user.microservice.entites,Address,4,202,9,11,2,34,9,19,0,18
