GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UserService,com.nt.user.microservice,UserServiceApplication,5,3,0,0,2,1,1,1,1,1
UserService,com.nt.user.microservice.contoller,UserController,16,141,0,0,3,36,0,7,0,7
UserService,com.nt.user.microservice.contoller,AddressController,0,100,0,0,0,25,0,5,0,5
UserService,com.nt.user.microservice.service.impl,AddressServiceImpl,9,191,1,9,2,46,1,9,0,5
UserService,com.nt.user.microservice.service.impl,UserServiceImpl,20,381,8,12,4,90,8,11,0,9
UserService,com.nt.user.microservice.exceptions,ErrorResponse,0,67,0,4,0,22,0,11,0,9
UserService,com.nt.user.microservice.exceptions,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
UserService,com.nt.user.microservice.exceptions,GlobalExceptionHandler,122,3,2,0,19,1,8,1,7,1
UserService,com.nt.user.microservice.exceptions,InvalidCredentialsException,4,0,0,0,2,0,1,0,1,0
UserService,com.nt.user.microservice.exceptions,AddressNotFoundException,0,4,0,0,0,2,0,1,0,1
UserService,com.nt.user.microservice.exceptions,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
UserService,com.nt.user.microservice.outdto,AddressOutDTO,0,45,0,0,0,19,0,13,0,13
UserService,com.nt.user.microservice.outdto,UserResponse,0,10,0,0,0,4,0,3,0,3
UserService,com.nt.user.microservice.outdto,UserOutDTO,0,52,0,0,0,22,0,15,0,15
UserService,com.nt.user.microservice.util,Base64Util,10,5,0,0,2,1,2,1,2,1
UserService,com.nt.user.microservice.util,Constants,3,0,0,0,1,0,1,0,1,0
UserService,com.nt.user.microservice.util,Role,0,24,0,0,0,3,0,1,0,1
UserService,com.nt.user.microservice.entites,WalletBalance,4,101,5,7,2,18,5,11,0,10
UserService,com.nt.user.microservice.entites,User,4,201,9,11,2,33,9,19,0,18
UserService,com.nt.user.microservice.entites,Address,4,202,9,11,2,34,9,19,0,18
UserService,com.nt.user.microservice.indto,UserInDTO,140,45,18,0,10,19,12,13,3,13
UserService,com.nt.user.microservice.indto,WalletBalanceInDTO,0,17,0,0,0,7,0,5,0,5
UserService,com.nt.user.microservice.indto,LogInDTO,0,17,0,0,0,7,0,5,0,5
UserService,com.nt.user.microservice.indto,AddressInDTO,5,178,9,9,2,30,9,16,0,16
